78,A Cissokho,LIV,2,0,4.2,0,0,0,0,0,0,0,0
79,J Enrique,LIV,2,10,4.3,2,3,3,1,0,5,0,0
80,J Flanagan,LIV,2,0,3.8,0,0,0,0,0,0,0,0
81,G Johnson,LIV,2,9,4.4,3,0,3,0,0,3,0,0
82,M Kelly,LIV,2,0,3.8,0,0,0,0,0,0,0,0
83,A Wisdom,LIV,2,-1,4,-1,2,0,0,0,1,0,0
84,G Clichy,MC,2,1,4.9,0,3,1,0,0,2,0,0
85,A Kolarov,MC,2,6,4.8,3,4,2,1,0,4,0,0
86,M Richards,MC,2,0,4.6,0,0,0,0,0,0,0,0
87,P Zabaleta,MC,2,9,5,1,7,3,2,0,6,0,0
88,A Buttner,MU,2,-1,4.6,-1,2,0,0,0,1,0,0
89,P Evra,MU,2,3,5,0,6,2,0,0,5,0,0
90,Fabio,MU,2,3,4.6,3,0,1,0,0,1,0,0
91,Rafael,MU,2,0,4.9,0,0,0,0,0,0,0,0
92,G Varela,MU,2,0,4.3,0,0,0,0,0,0,0,0
93,M Debuchy,NEW,2,-1,3.5,-4,11,2,0,0,6,0,0
94,D Santon,NEW,2,2,3.5,-4,7,2,0,0,5,0,0
95,J Garrido,NOR,2,1,3.2,-1,6,1,0,0,5,0,0
96,R Martin,NOR,2,2,3.3,3,4,1,0,0,4,0,0
97,M Olsson,NOR,2,3,3.2,3,0,1,0,0,1,0,0
98,S Whittaker,NOR,2,6,3.1,-1,5,1,1,1,4,0,0
99,C Chambers,SOT,2,3,3.1,0,2,1,0,0,3,0,0
100,N Clyne,SOT,2,10,3.2,9,0,3,0,0,4,0,0
101,D Fox,SOT,2,0,3.1,0,1,0,0,0,1,0,0
102,L Shaw,SOT,2,14,3.2,9,1,4,1,0,5,0,0
103,G Cameron,STO,2,7,3.4,4,6,2,0,1,6,0,0
104,E Pieters,STO,2,5,3.4,2,5,2,0,0,6,0,0
105,A Wilkinson,STO,2,0,3.3,0,0,0,0,0,0,0,0
106,M Wilson,STO,2,4,3.4,1,6,2,0,0,6,0,0
107,P Bardsley,SUN,2,0,3.3,0,0,0,0,0,0,0,0
108,O Celustka,SUN,2,-7,3.3,-5,12,0,0,0,5,0,0
109,A Dossena,SUN,2,0,3.4,0,0,0,0,0,0,0,0
110,J O'Shea,SUN,2,-6,3.5,-4,11,0,0,0,5,0,0
111,B Davies,SWA,2,7,3.2,10,9,2,0,2,6,0,0
112,A Rangel,SWA,2,2,3.5,5,7,2,0,0,5,0,0
113,N Taylor,SWA,2,0,3.4,0,0,0,0,0,0,0,0
114,D Tiendalli,SWA,2,-1,3.1,-1,2,0,0,0,1,0,0
115,K Naughton,TOT,2,3,3.9,3,1,1,0,0,2,0,0
116,D Rose,TOT,2,9,3.7,3,1,3,0,0,4,0,0
117,K Walker,TOT,2,12,4.2,6,2,4,0,0,6,0,0
118,B Jones,WBA,2,5,3.2,2,5,2,0,0,6,0,0
119,G Popov,WBA,2,0,3.2,0,0,0,0,0,0,0,0
120,S Reid,WBA,2,0,3.2,0,0,0,0,0,0,0,0
121,L Ridgewell,WBA,2,8,3.3,5,5,2,0,1,6,0,0
122,G Demel,WH,2,7,3.3,1,1,2,0,0,4,0,0
123,G McCartney,WH,2,0,3.2,0,0,0,0,0,0,0,0
124,J O'Brien,WH,2,7,3.4,1,5,3,0,0,6,0,0
125,D Potts,WH,2,0,3,0,0,0,0,0,0,0,0
126,L Koscielny,ARS,3,1,4.4,3,6,1,0,0,5,0,0
127,P Mertesacker,ARS,3,4,4.4,6,6,1,0,1,5,0,0
128,T Vermaelen,ARS,3,0,4.5,0,0,0,0,0,0,0,0
129,N Baker,AV,3,-2,3.1,-1,3,0,0,0,1,0,0
130,C Clark,AV,3,2,3.3,2,4,1,0,0,4,0,0
131,J Okore,AV,3,-1,3.3,-1,3,0,0,0,2,0,0
132,R Vlaar,AV,3,0,3.4,1,8,1,0,0,6,0,0
133,S Caulker,CAR,3,4,4,3,7,1,0,1,6,0,0
134,M Hudson,CAR,3,0,3.3,0,0,0,0,0,0,0,0
135,B Turner,CAR,3,1,3.2,0,7,1,0,0,6,0,0
136,G Cahill,CHE,3,9,4.6,3,1,3,0,0,4,0,0
137,D Luiz,CHE,3,0,4.8,0,2,0,0,0,2,0,0
138,J Terry,CHE,3,14,4.7,8,3,3,1,1,6,0,0
139,D Delaney,CP,3,0,3.2,-1,7,0,1,0,5,0,0
140,D Gabbidon,CP,3,-1,3,-3,10,0,0,1,6,0,0
141,A Mariappa,CP,3,-3,3,-3,6,0,0,0,3,0,0
142,P McCarthy,CP,3,0,3,0,0,0,0,0,0,0,0
143,A Alcaraz,EVE,3,0,3.8,0,0,0,0,0,0,0,0
144,S Distin,EVE,3,7,4.1,2,5,3,0,0,6,0,0
145,J Heitinga,EVE,3,0,4,0,0,0,0,0,0,0,0
146,P Jagielka,EVE,3,7,4.1,2,5,3,0,0,6,0,0
147,F Amorebieta,FUL,3,-3,3.4,-3,5,0,0,0,2,0,0
148,B Hangeland,FUL,3,-1,3.6,-2,9,1,0,0,6,0,0
149,A Hughes,FUL,3,1,3.2,0,4,1,0,0,3,0,0
150,P Senderos,FUL,3,2,3.3,2,1,0,1,0,1,0,0
151,A Bruce,HUL,3,0,3,0,0,0,0,0,0,0,0
152,J Chester,HUL,3,0,3.1,-1,7,1,0,0,5,0,0
153,C Davies,HUL,3,6,3.2,5,7,2,0,1,6,0,0
154,A Faye,HUL,3,3,3.2,3,0,1,0,0,1,0,0
155,P McShane,HUL,3,0,3.1,0,0,0,0,0,0,0,0
156,D Agger,LIV,3,11,4.3,5,1,3,1,0,4,0,0
157,S Coates,LIV,3,0,3.9,0,0,0,0,0,0,0,0
158,T Ilori,LIV,3,0,3.8,0,0,0,0,0,0,0,0
159,M Sakho,LIV,3,-1,4.1,-1,4,0,0,0,3,0,0
160,M Skrtel,LIV,3,2,4.2,2,4,1,0,0,4,0,0
161,K Toure,LIV,3,6,4.1,0,2,2,0,0,4,0,0
162,M Demichelis,MC,3,0,4.7,0,0,0,0,0,0,0,0
163,V Kompany,MC,3,1,5,-2,4,0,1,0,3,0,0
164,J Lescott,MC,3,4,4.7,0,3,2,0,0,3,0,0
165,M Nastasic,MC,3,4,4.8,1,4,2,0,0,4,0,0
166,J Evans,MU,3,-1,4.8,-1,2,0,0,0,1,0,0
167,R Ferdinand,MU,3,2,4.7,-1,8,2,0,0,6,0,0
168,P Jones,MU,3,1,4.7,-2,4,1,0,0,3,0,0
169,C Smalling,MU,3,-3,4.4,-3,4,0,0,0,1,0,0
170,N Vidic,MU,3,3,5,0,6,2,0,0,5,0,0
171,F Coloccini,NEW,3,-1,3.5,-4,11,2,0,0,6,0,0
172,S Taylor,NEW,3,-4,3.3,0,4,0,0,0,0,0,0
173,M Williamson,NEW,3,1,3.1,1,0,0,0,0,1,0,0
174,M Yanga-Mbiwa,NEW,3,-1,3.2,-4,11,2,0,0,6,0,0
175,S Bassong,NOR,3,1,3.6,-2,3,1,0,0,2,0,0
176,R Bennett,NOR,3,4,3.3,4,0,1,0,0,2,0,0
177,M Turner,NOR,3,4,3.3,2,6,2,0,0,6,0,0
178,J Fonte,SOT,3,15,3.2,9,2,4,0,1,6,0,0
179,J Hooiveld,SOT,3,0,3.1,0,0,0,0,0,0,0,0
180,D Lovren,SOT,3,15,3.2,12,2,4,0,1,6,0,0
181,M Yoshida,SOT,3,0,3.1,0,0,0,0,0,0,0,0
182,R Huth,STO,3,6,3.5,1,6,2,1,0,6,0,0
183,M Muniesa,STO,3,0,3.4,0,0,0,0,0,0,0,0
